Username,Comment
@jeswinraju1547,Disappointed by how people treated this movie in theatres. This is a masterpiece which left me in tears. Cricket is one thing in India that people celebrate irrespective of religion and caste.
@TOP10STAR,i was not even born in 1983 but thanks to bringing those world cup memory again. This is the story of India's first Hero KAPIL DEV 
@srinivasnahak3473,"The best part about the trailer is ""It doesn't just revolve around Ranveer Singh.."" it has also given importance to other characters..which is truly commendable "
-,Ranveer has played his Role has captain Kapil Dev marvellously. What an amazing movie “83” we can only imagine the atmosphere and how India felt when wining the world championships ️
-,Ranveer during the interview scene definitely felt like Kapil Dev  . Great casting. Another Kabir Khan Mega blockbuster ️
@prakhart92,"A lesser known fact :
Mohindar Amarnath was man of the match in both Semi-finals and finals.

So excited to watch this.🇮🇳"
@bharathhegde9931,My dad said 83 world cup was special to a whole Indian nation... I saw a proud  happiness in his eyes when he use to speak about it... Sad my dad is not there to see this movie now... After seeing this trailer I got goosebumps looks fantastic looks so realistic.. Hats off to ranveer singh
@nishiali3007,"Just saw this movie.....it's commendable 
Best part is, it doesn't revolves around just one person/ player, it shows u the journey and struggle of whole Indian team."
@rockstarabhi9971,As a cricket fan We all have to accept the fact that Kapil Dev's 175 runs was one of the best odi innings of all time ️️
@psuraj7116,"u may not like ranveer for his life style, but trust me when its about playing character roles.. he is simply the best in this industry, he may not dress right, he may be a nuisance but when he plays character roles. he is the boss.. absolute goosebumps felt"
@samrikasinha5926,"After MS DHONI-the untold story, this is another enthralling biopic masterpiece!! Loved it."
@unknownperson9247,Some movies can't be judge by their box office collection. This is one of them.
@Batman-mf6ud,The transformation and make-up of Ranveer as Kapil Dev is UNBELIEVABLE ....This is the real tribute to the players of '83.
@sumitojha9082,"2:35
""I say before, we are here to win""
Exactly like the legend Kapil Dev.
INCREDIBLE"
-,Took 38 years to know the story about the legends of 83. Goosebumps  Can’t wait for this masterpiece. Fun fact - 38 is the reverse of 83 
@eshwarajith7877,"a shame that this movie flopped box office. such aa heart touching movie and conveys so much on never ever give up. respect to kabir khan, kapil dev and all the other actors. totally loved this film."
@ronjon4245,when Ranveer says we here to win... and what else we here for... his dialogue delivery appearance look exactly like Kapil Paji... what an actor he is️
@rahulbose2334,"No matter what,whenever Ranveer acts on any character he not only gives his 100%, but I would say 300%.Thats his style.Copying a legend like Kapil Dev Sir is not a joke ,and he has done that truly from his heart.Hats of to the entire team and Kabir Khan to bring those memories back..."
@kunalupreti7621,"no matter how ranveer acts irl, on screen his skills are unmatched, hats off bro"
@michaelmiklosofficial,What a masterpiece so glad to be part of it
@yudishcallee7579,"The dedication of Ranveer Singh towards his craft is outstanding and so inspiring! We all know how crazy he is in real life but when it comes to his work, he will put his life into his character and this is what reflects on the screen everytime.

I felt his best performance was Peshwa Bajirao ..but he came as Alauddin Khilji. Just when you thought Khilji is his best, he comes as Murad. Just when you thought that was maybe his career best, he comes as Kapil Dev. I can't believe this guy was Bittoo Sharma some 10 years ago. What a career graph. What versatility! What an artist. Hats off."
@avinashshivaram4457,Huge respect to Kapil Dev sir and to the entire team. Seeing this trailer i felt leading a team in 83 world cup is much much bigger achievement than leading the team today.
@sahinalam4252,"Finally a movie together , where none of them die in the climax ️"
@shreerangvr,Saw this film on Netflix.  1 time watch..good film...1983 one day worldcup Ranvir did good role of kapil...India
@najibkhan1426,"I’m from Afghanistan 🇦🇫 but this trailer gave  me goosebumps.
Lots of love from Afghanistan to beautiful India 🇮🇳"
@user-he2ki8gl2d,"My dad till date talks about this match, our generation wasn't lucky to witness the live match though but for him and his generation this movie is going to get some real good memories back."
@shailjasaraogi6213,"Looks like Kapil Dev is acting for himself.
Kudos to Ranveer Singh's acting! ️"
@tanbir7372,"Critics says it's a Flop Movie.. But I swear really it's great movie.
Must watch this for every Indian.."
@raghavendrarao4060,1983 may be number for others but it's an emotion for every indian...
@ichigokurosaki7699,"""I say before, we here to win""

GOOSEBUMPS guaranteed."
@aiman5841,Jeeva as Kris Srikanth is the best Casting Ever. He Nailed It. ️
@dnpandeyji,Coincidence is that 83 movie got 83 million views 
@praveen131994,"Dangal was the last movie while watching whose trailer, I had goosebumps...

5 years hence.... 83 gave the same goosebumps...
Definitely a theater worthy movie... Every actor is in their best avatars..."
@garimaarora8579,"Ranveer Singh's acting in the film shows that never judge a book by it's cover...no matter how he dresses but when he comes on screen, he proves that HE IS THE BEST IN WHAT HE DOES"
@jainishpatel1304,I had goosebumps after listening to this line “ no matter whats’s going on in our lives when we walk onto the pitch in our uniforms we have only one purpose to play for our country with all our hearts “ this is not just a line it’s an emotion !!
